transaction_id,customer_id,product_id,purchase_date,quantity,total_price
TX00001,CUST0001,PROD0131,2022-09-14,2,124.18
TX00002,CUST0001,PROD0100,2023-11-03,5,2460.05
TX00003,CUST0001,PROD0041,2022-09-17,3,249.87
TX00004,CUST0002,PROD0086,2023-09-28,3,116.76
TX00005,CUST0002,PROD0051,2022-12-13,4,1536.36
TX00006,CUST0002,PROD0084,2022-08-27,1,241.01
TX00007,CUST0003,PROD0167,2024-12-01,1,377.13
TX00008,CUST0003,PROD0074,2023-05-25,4,1311.24
TX00009,CUST0003,PROD0116,2025-05-16,5,2250.0
TX00010,CUST0004,PROD0167,2023-07-04,4,1508.52
TX00011,CUST0004,PROD0172,2023-10-14,2,389.2
TX00012,CUST0004,PROD0132,2024-05-26,2,584.78
TX00013,CUST0005,PROD0029,2024-01-31,1,329.44
TX00014,CUST0005,PROD0011,2024-01-30,2,101.82
TX00015,CUST0005,PROD0100,2024-12-17,2,984.02
TX00016,CUST0006,PROD0195,2023-09-01,3,311.04
TX00017,CUST0006,PROD0146,2024-03-11,2,573.42
TX00018,CUST0006,PROD0189,2025-03-23,5,860.3
TX00019,CUST0007,PROD0078,2024-04-10,1,192.59
TX00020,CUST0007,PROD0093,2024-06-06,2,649.04
TX00021,CUST0007,PROD0119,2024-08-15,5,1879.95
TX00022,CUST0008,PROD0065,2023-10-20,1,393.39
TX00023,CUST0008,PROD0056,2024-08-13,3,1350.93
TX00024,CUST0008,PROD0131,2025-01-22,1,62.09
TX00025,CUST0009,PROD0056,2024-05-07,2,900.62
TX00026,CUST0009,PROD0047,2024-12-04,4,661.84
TX00027,CUST0009,PROD0086,2024-10-03,4,155.68
TX00028,CUST0010,PROD0185,2024-03-16,4,1191.96
TX00029,CUST0010,PROD0084,2024-04-23,5,1205.05
TX00030,CUST0010,PROD0118,2025-05-19,2,111.76
TX00031,CUST0011,PROD0126,2024-02-13,5,780.35
TX00032,CUST0011,PROD0123,2024-10-19,3,251.4
TX00033,CUST0011,PROD0144,2024-02-12,2,426.24
TX00034,CUST0012,PROD0020,2025-07-08,1,188.24
TX00035,CUST0012,PROD0158,2023-09-25,1,125.77
TX00036,CUST0012,PROD0028,2025-01-01,5,2194.0
TX00037,CUST0013,PROD0013,2024-03-06,1,366.22
TX00038,CUST0013,PROD0003,2024-01-28,3,1114.89
TX00039,CUST0013,PROD0071,2024-04-02,4,908.24
TX00040,CUST0014,PROD0098,2024-07-07,2,375.84
TX00041,CUST0014,PROD0187,2025-04-25,1,94.96
TX00042,CUST0014,PROD0146,2024-06-04,1,286.71
TX00043,CUST0015,PROD0095,2024-11-24,2,463.7
TX00044,CUST0015,PROD0056,2025-01-04,4,1801.24
TX00045,CUST0015,PROD0166,2025-03-19,3,1294.32
TX00046,CUST0016,PROD0020,2023-07-20,1,188.24
TX00047,CUST0016,PROD0072,2022-12-25,3,428.64
TX00048,CUST0016,PROD0107,2023-07-11,1,246.82
TX00049,CUST0017,PROD0031,2025-03-07,3,381.24
TX00050,CUST0017,PROD0078,2024-04-15,4,770.36
TX00051,CUST0017,PROD0037,2024-04-06,2,387.8
TX00052,CUST0018,PROD0031,2025-04-15,1,127.08
TX00053,CUST0018,PROD0163,2025-03-25,4,1071.64
TX00054,CUST0018,PROD0191,2025-04-08,2,836.56
TX00055,CUST0019,PROD0004,2024-02-27,2,427.7
TX00056,CUST0019,PROD0029,2025-06-06,4,1317.76
TX00057,CUST0019,PROD0023,2025-06-29,5,1169.1
TX00058,CUST0020,PROD0178,2024-10-13,3,458.43
TX00059,CUST0020,PROD0143,2023-12-29,1,151.35
TX00060,CUST0020,PROD0070,2025-03-27,5,640.4
TX00061,CUST0021,PROD0123,2023-08-01,2,167.6
TX00062,CUST0021,PROD0017,2023-03-01,2,664.66
TX00063,CUST0021,PROD0188,2024-09-08,1,167.04
TX00064,CUST0022,PROD0102,2024-06-29,1,56.28
TX00065,CUST0022,PROD0174,2024-09-23,1,168.79
TX00066,CUST0022,PROD0097,2023-01-31,4,1867.84
TX00067,CUST0023,PROD0111,2024-12-09,2,447.42
TX00068,CUST0023,PROD0120,2023-10-22,1,488.22
TX00069,CUST0023,PROD0106,2022-11-04,5,1726.55
TX00070,CUST0024,PROD0012,2023-06-14,3,1273.53
TX00071,CUST0024,PROD0169,2023-02-08,3,668.22
TX00072,CUST0024,PROD0017,2024-07-22,4,1329.32
TX00073,CUST0025,PROD0052,2023-12-02,3,720.78
TX00074,CUST0025,PROD0069,2024-06-05,2,408.6
TX00075,CUST0025,PROD0007,2023-12-02,2,454.72
TX00076,CUST0026,PROD0177,2024-03-12,1,193.29
TX00077,CUST0026,PROD0115,2025-03-28,5,340.45
TX00078,CUST0026,PROD0001,2023-05-19,4,240.44
TX00079,CUST0027,PROD0144,2023-04-10,2,426.24
TX00080,CUST0027,PROD0180,2022-12-10,1,113.61
TX00081,CUST0027,PROD0126,2023-05-02,3,468.21
TX00082,CUST0028,PROD0094,2024-04-25,3,1394.58
TX00083,CUST0028,PROD0023,2025-06-28,4,935.28
TX00084,CUST0028,PROD0154,2023-10-25,4,68.36
TX00085,CUST0029,PROD0140,2024-12-28,3,481.17
TX00086,CUST0029,PROD0042,2024-06-11,5,2192.75
TX00087,CUST0029,PROD0096,2024-04-10,5,1355.65
